,"3/24/16
Sherman Creek North,
March 24, 2016","May Monitoring
Anable Basin,
May 12, 2016","2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","Maritime Adventure 01
SUNY Maritime College - McMurray Hall East,
July 7, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","Maritime Adventure 02
SUNY Maritime College - McMurray Hall East,
July 21, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016","Yonkers Day 1 Data Collection
Science Barge,
July 31, 2016","8/2/16 - Pier 84
Pier 84,
August 2, 2016","Day 3 Data Collection
Tarrytown Boat Club,
August 4, 2016","Maritime Adventure 03
SUNY Maritime College - McMurray Hall West,
August 4, 2016","2016-08-06 Monitoring
Katy's Cage on Brooklyn Barge,
August 6, 2016","August Monitoring
Anable Basin,
August 8, 2016","8/9/16 - Pier 40
Pier 40,
August 9, 2016","August 14 2016
Pier A,
August 13, 2016","Yonkers Day 2
Science Barge,
August 14, 2016","Day 4 Data Collection
Tarrytown Boat Club,
August 18, 2016","Yonkers Day 3
Science Barge,
August 28, 2016","The Hewitt School- 78th and the East River
Test Station,
August 30, 2016","Tarrytown Day 5
Tarrytown Boat Club,
September 2, 2016","2016-09-04 Monitoring
Katy's Cage on Brooklyn Barge,
September 4, 2016","bearbower2
Bearbower,
September 4, 2016","Sept 2016
L+N Oysters,
September 10, 2016","2016-03
Transmitter Park,
September 17, 2016","September Pier 40
Pier 40,
September 20, 2016","Yonkers September 24
Science Barge,
September 24, 2016","Day 6 Tarrytown
Tarrytown Boat Club,
September 25, 2016","Expedition 1
Whole Foods Gowanus (MS51),
October 7, 2016","WFC- Baseline
The WaterFront Center,
October 10, 2016","First Expedition
GHS ORS,
October 11, 2016","Day 7 Tarrytown
Tarrytown Boat Club,
October 12, 2016","EXPEDITION #1 7A
IS 281 Joe Gulino,
October 13, 2016","October Oyster Monitoring
IS 288 ORS,
October 13, 2016","APES CURTIS HS 1
CURTIS HS,
October 13, 2016","10/14/16 - Pier 26
Pier 26,
October 14, 2016","Yonkers Day 5
Science Barge,
October 15, 2016","2016-10-16 Monitoring
Katy's Cage on Brooklyn Barge,
October 16, 2016","10/17/16 - Pier 84
Pier 84,
October 17, 2016","PS 71
SUNY Maritime College - McMurray Hall East,
October 17, 2016","PS 71 - McMurray Hall (East) Trip #1
SUNY Maritime McMurray Hall East,
October 17, 2016","Team Leaders
East Harlem,
October 19, 2016","Our first trip!
McKinney Oysters,
October 19, 2016","October Pier 40
Pier 40,
October 20, 2016","Whole Foods visit 1
Whole Foods Esplanade (MS 88 #2),
October 21, 2016","ISLA 601
Sherman Creek South,
October 21, 2016","October 23, 2016
Pier A,
October 23, 2016","PS 71
SUNY Maritime College - McMurray Hall East,
October 26, 2016","PS 71 - McMurray Hall (East) Trip #2
SUNY Maritime McMurray Hall East,
October 26, 2016","2106-04
Transmitter Park,
October 30, 2016","WP ORS Data Collection FALL 2016.1
Williamsburg Prep ORS,
November 1, 2016","Day 8 Tarrytown
Tarrytown Boat Club,
November 3, 2016","Yonkers Day 6
Science Barge,
November 6, 2016","TYWLS Expedition 1
Astoria TYWLS ORS,
November 9, 2016","November 11, 2016
Berkeley Carroll 4th Graders,
November 11, 2016","Expedition 1
The Brooklyn Pearl,
November 11, 2016","Yonkers Day 7
Science Barge,
November 13, 2016","TYWLS Expedition 2
Astoria TYWLS ORS,
November 16, 2016","Full Class Fall Trip
East Harlem,
November 17, 2016","November 2016
PS/MS 188,
November 17, 2016","PS 71
SUNY Maritime College - McMurray Hall East,
November 23, 2016","PS 71
SUNY Maritime College - McMurray Hall West,
November 23, 2016","PS 71 - McMurray Hall (East) Trip #3
SUNY Maritime McMurray Hall East,
November 23, 2016","PS 71- McMurray Hall (WEST) Trip #3
SUNY Maritime McMurray Hall West,
November 23, 2016","Second Expedition
GHS ORS,
November 29, 2016","November Pier 40
Pier 40,
December 1, 2016","Sherman Creek Park 2
Sherman Creek South,
December 2, 2016","Winter 1
East Harlem,
December 8, 2016","789 Monitoring Kaiser Site at 22nd street
IS 288 ORS,
December 9, 2016","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Spring Trip March '17
CURTIS HS,
March 30, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","2017-0410 Setup-ORS since Lost
West Harlem Piers - Tentative,
April 10, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","LIC#C-17-04
Anable Basin,
April 27, 2017","April 2017
Pier 40,
April 27, 2017","Yonkers April 2017
Science Barge,
April 29, 2017","April 29 2017
Pier A,
April 29, 2017","2017-0430 First raising of the ORS-ORS since Lost
West Harlem Piers - Tentative,
April 30, 2017","May Oyster Monitoring
Little Hell Gate Inlet,
May 10, 2017","PS 71 McMurray Hall West Trip #5
SUNY Maritime McMurray Hall West,
May 10, 2017","PS 71 McMurray Hall East Trip #5
SUNY Maritime McMurray Hall East,
May 10, 2017","TYWLS Expedition 5 (7 - 1)
Astoria TYWLS ORS,
May 10, 2017","Spring 2017 Trip 3
Williamsburg Prep ORS,
May 10, 2017","BEAUTIFUL DAY 1
IS 281 Joe Gulino,
May 11, 2017","Expedition 4
Whole Foods Gowanus (MS51),
May 11, 2017","Third Expedition
GHS ORS,
May 16, 2017","Oyster Data Collection 5/16
I.S. 259,
May 16, 2017","HOT HOT HOT
East Harlem,
May 18, 2017","Shooting Stars Week
IS 288 ORS,
May 19, 2017","The Hewitt School Expedition 2
The Hewitt School Restoration site,
May 19, 2017","2017-0520 Baseline visit
Baylander #16,
May 20, 2017","Concrete Jungle Oyster Expedition #1
79th St Boat Basin Station #1,
May 24, 2017","Sherman Creek 4
Sherman Creek South,
May 30, 2017","SOF Baseline 5/30/17
SOFuture ORS,
May 30, 2017","Class 600 McKinley 5/31/2017
I.S. 259,
May 31, 2017","6/1/17 Visit 1
Bush Terminal MS88,
June 1, 2017","Spring 2017 Trip 4
Williamsburg Prep ORS,
June 1, 2017","LIC#C-17-06
Anable Basin,
June 1, 2017","June 2nd 6 graders
East Harlem,
June 2, 2017","Fourth Expedition
GHS ORS,
June 2, 2017","6/4/17
Bearbower,
June 4, 2017","PBS Newshour Edition
East Harlem,
June 16, 2017","Summer Expedition #1
The Brooklyn Pearl,
June 18, 2017","SUNY Maritime Adventure Boat Camp, June 21st (Training Week)
SUNY Maritime Waterfront,
June 21, 2017","June Oyster Monitoring
Little Hell Gate Inlet,
June 22, 2017","2017-0624 First visit after baseline
Baylander #16,
June 24, 2017","Baseline Expedition
Derekh's Wallabout,
June 25, 2017","June 2017
Pier 40,
June 26, 2017","Baseline
The Climate Mobilization And Resilience Paddle Sports ORS,
June 29, 2017","2017-07-01 Monitoring
Katy's Cage on Brooklyn Barge,
July 1, 2017","Eco-Rangers Visit #1 (Baseline)
79th St Boat Basin Station #2,
July 13, 2017","2017-0715 City of Water Day on the Baylander
Baylander #16,
July 15, 2017","July 2017
Pier 40,
July 18, 2017","July Oyster Monitoring
Little Hell Gate Inlet,
July 19, 2017","SUNY Maritime Adventure Boat Camp 2017, July 6th (1st Session)
SUNY Maritime Waterfront,
July 25, 2017","SUNY Maritime Adventure Boat Camp 2017, July 20th (2nd Session)
SUNY Maritime Waterfront,
July 25, 2017","2017-08-12 Monitoring
Katy's Cage on Brooklyn Barge,
August 12, 2017","Aug 12 2017 - Bearbower
Bearbower,
August 12, 2017","August 2017
Pier 40,
August 22, 2017","August Oyster Monitoring
Little Hell Gate Inlet,
August 30, 2017","Steven BBP Oyster Data
UCC,
August 31, 2017","September Session
Gantry Plaza Fishing Pier,
September 7, 2017","Test
BOP Pier 101,
September 12, 2017","2017-09-16 Monitoring
Katy's Cage on Brooklyn Barge,
September 16, 2017","September Oyster Monitoring
Little Hell Gate Inlet,
September 19, 2017","2017-0928 Climate Week NYC Baseline
Baylander #16,
September 28, 2017","1st Expedition - Year 2
GHS ORS,
September 28, 2017","Visit #1
Pelham Preparatory Academy,
October 12, 2017","Team Leaders Early Fall 2017
East Harlem,
October 18, 2017","Fall 2017
The Brooklyn Pearl,
October 21, 2017","10/22/17
Bearbower,
October 22, 2017","Pd.2 APES
CURTIS HS,
October 25, 2017","Weirdy Fish
IS 288 ORS,
October 26, 2017","Fall 2017 Trip 1
Williamsburg Prep ORS,
October 26, 2017","2017-10-28 Monitoring
Katy's Cage on Brooklyn Barge,
October 28, 2017","2017-1028 First measurement of new oysters
Baylander #16,
October 28, 2017","November 2017
Pier 40 Cage #2,
November 7, 2017","701 Early November
East Harlem,
November 15, 2017","No-Admin Test Expedition 2
Pier 101,
November 30, 2017","test 3
Pier 101,
December 7, 2017","McClancy Replacement Cage
McClancy2,
December 12, 2017","Sub Zero
IS 288 ORS,
December 20, 2017","New Baseline with Gus and Maddox (and Sam) (and a weird old man)
OystersOfICE-2,
December 22, 2017","Test for Maintenance
BOP Test Station,
December 26, 2017","Rude Fake Cop
OystersOfICE-2,
January 19, 2018","SNOWYSTERS
IS 288 ORS,
February 7, 2018","Visit #2
Pelham Preparatory Academy,
February 16, 2018","Marine Bio class testing
Hewitt School- new station,
March 9, 2018","2nd Expedition - Year 2
GHS ORS,
March 29, 2018","first spring expedition
Kimberly-Earth School,
April 10, 2018","April 2018
Pier 40 Cage #2,
April 26, 2018","Class 616 McKinley 5/8/2018
IS 259 McKinley II,
May 8, 2018","Spring 2018 Trip 1
Williamsburg Prep ORS,
May 10, 2018","Expedition 5
Whole Foods Gowanus (MS51),
May 10, 2018","2018-0519 Baylander 16
Baylander #16,
May 19, 2018","Expedition 6
Whole Foods Gowanus (MS51),
May 24, 2018","Curtis High School 05/25/2018
CURTIS HS,
May 25, 2018","Marine Bio class testing
Hewitt School- new station,
May 25, 2018","2018-0526 Demo for Summer on the Hudson
Baylander #16,
May 26, 2018","Spring 2018 Trip 2
Williamsburg Prep ORS,
May 29, 2018","2018-0609 Demo for Summer on the Hudson
Baylander #16,
June 9, 2018","First Expedition Station 18
Station 188,
June 14, 2018","First Expedition Station 190
Station 190,
June 14, 2018","First Expedition Station 192
Station 192,
June 14, 2018","First Expedition Station 189
Station 189,
June 14, 2018","First Expedition Station 191
Station 191,
June 16, 2018","2018-0707 Summer on the Hudson Demo
Baylander #16,
July 7, 2018"
"Water color
(1=Light Blue,2=Dark Blue,3=Light Green,
4=Dark Green,5=Light Brown,6=Dark Brown)",4,,4,4,4,4,3,4,4,4,6,4,5,4,4,1,4,1,3,4,,4,6,5,4,5,4,3,4,4,4,4,4,5,3,3,4,2,3,3,3,4,2,5,4,2,4,4,4,4,4,6,4,4,3,3,4,5,1,3,4,4,3,5,6,4,2,3,3,3,3,4,4,6,4,2,2,4,4,4,3,2,4,5,4,3,3,4,5,3,4,3,6,4,,5,3,3,3,4,4,4,4,4,4,4,5,2,4,4,5,5,5,3,4,3,,5,1,2,4,3,5,3,5,3,3,4,4,3,4,2,5,2,3,4,2,2,5,,3,,4,4,4,4,,6,3,2,4,4,4,4,3,2,,,,4,1,4,,6,3,5,4,4,,2,4,4,4,3,4,5,4,,4,5,4,4,4,4,4,5
"Shoreline type
(1,Bulkhead/Wall,2=Fixed Pier,3=Floating Dock,
4=Riprap/Rocky Shoreline,5=Dirt/Sand,6=Other)",1,,4,2,1,2,2,3,4,3,2,3,2,3,1,3,3,2,3,4,,3,2,3,2,3,1,2,4,1,2,4,2,3,2,1,3,1,2,3,1,1,3,3,4,3,1,1,1,2,3,1,1,2,1,1,4,2,2,3,1,2,3,3,1,1,1,1,1,1,1,1,2,4,1,1,1,1,4,2,1,1,1,1,3,2,1,5,1,1,4,1,1,2,,2,2,1,1,1,1,5,3,1,2,2,1,1,1,2,3,1,1,2,4,4,,1,1,1,1,3,2,1,2,3,2,2,2,2,2,2,1,2,3,2,1,2,1,,3,,2,1,1,2,,1,3,2,4,1,2,2,1,2,,,,3,1,2,,2,1,,1,1,,,,,,,,,,,,,,,,,,
Water Quality Sample #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth (m),0,0.3,0,1,0,0.12,0,2,0,3,0,0.12,,1,1,0,2.048,0,0,0,0,,,2.2086,1,1,1,0,0.4,0,1,0,,,0,2,,,0,0,15,0,,0,0,2,,0.3,0,0,0,10,0,2.5,2.75,2,,0,0,2,,0,0,0,0.5,0,0.25,0.5,2.75,0,35,50,0,0,0,0,0.2,3.75,7,0.25,0.5,,0,0,0.2,0,,4,0,0,0,0,0,,2.5,0.5,0,0.1,,1,244,0,4,1,2,0,1.21,0,1,0,0,0.2,,3.36,0,7,0,,,0.3,2,0,0,0,0,0,0,,0,2,0,5,0,,,0,,0,,0,85,1,1,0,6,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location (coordinates),"40.8619352, -73.9207886","40.730088145502236, -73.96167755126953","40.693524619555234, -74.00180339813232","40.79140240694607, -73.93528461456297","40.703963, -74.017852","41.07378678319673, -73.86898040771484","40.80481167608478, -73.79520893096922","40.730088145502236, -73.96167755126953","40.72823633929698, -74.01205480098724","40.6709135, -74.0133476","40.72154224370965, -74.01336908340454","41.0742933, -73.86566520000001","40.80575371550092, -73.79645347595215","40.75939114736415, -73.95758718252182","41.094068568155556, -73.87116909027098","40.76420600866383, -74.00175511837006","41.07391619241318, -73.86932373046875","40.805915052209144, -73.79435062408447","40.72927511814658, -73.96124839782715","40.74958156615192, -73.95595908164978","40.72823633929698, -74.01205480098724","40.703963, -74.017852","40.93374647531056, -73.90434265136719","41.0742933, -73.86566520000001","40.93582139674734, -73.90425682067871","40.769036772101316, -73.9484167098999","40.94982541180994, -73.89266967773438","40.72927511814658, -73.96124839782715","40.6709135, -74.0133476","40.6946187263292, -74.00055348873138","40.730088145502236, -73.96167755126953","40.371658891506094, -74.23599243164062","40.93604833732571, -73.90413880348206","41.0742933, -73.86566520000001","40.67578863621116, -73.99046301841736","40.87776386200643, -73.53973388671875","40.704448612060695, -73.96938890218735","41.073883840132936, -73.86925935745239","40.59705820289411, -74.00490578078006","40.57954165275019, -73.992919921875","40.642028420083335, -74.07312870025635","40.72156281580447, -74.01344418525696","40.9360668, -73.90331309999999","40.72927511814658, -73.96124839782715","40.764132630366966, -74.0015834569931","40.80575371550092, -73.79645347595215","40.80581868324361, -73.79645079374313","40.79140240694607, -73.93528461456297","40.69487496435247, -74.00043547153473","40.371658891506094, -74.23599243164062","40.67563403579315, -73.99037182331085","40.863679665481676, -73.6798095703125","40.703963, -74.017852","40.80575371550092, -73.79645347595215","40.80581868324361, -73.79645079374313","40.730088145502236, -73.96167755126953","40.72084750453007, -73.96448314189911","41.0742933, -73.86566520000001","41.080386328434905, -73.87344360351562","40.76845173617708, -73.93850326538086","40.6948781994942, -74.00106603425229","40.704830878684845, -73.9702820777893","40.9360668, -73.90331309999999","40.76845173617708, -73.93850326538086","40.79140240694607, -73.93528461456297","40.71311007267089, -73.97635459899902","40.80581868324361, -73.79645079374313","40.80582680420698, -73.79663586616516","40.70351733631427, -73.97109478712082","40.371658891506094, -74.23599243164062","40.863679665481676, -73.6798095703125","40.79140240694607, -73.93528461456297","40.57954165275019, -73.992919921875","40.57954165275019, -73.992919921875","40.79142677512476, -73.93522560596465","40.72819784159945, -74.01204407215118","40.72084750453007, -73.96448314189911","40.642028420083335, -74.07312870025635","40.79140240694607, -73.93528461456297","40.80581868324361, -73.79645079374313","40.76845173617708, -73.93850326538086","40.957838, -73.689257","40.81991923864479, -73.96048665046692","40.76845173617708, -73.93850326538086","40.72063722728484, -73.96555151892244","40.6755282563532, -73.9905595779419","40.863679665481676, -73.6798095703125","40.59705820289411, -74.00490578078006","40.6755282563532, -73.9905595779419","40.74927270745127, -73.95609855651855","40.371658891506094, -74.23599243164062","40.703963, -74.017852","40.81991923864479, -73.96048665046692","40.79236900450889, -73.92820358276367","40.80582680420698, -73.79663586616516","40.80581868324361, -73.79645079374313","40.769166779384996, -73.9365291595459","40.72063722728484, -73.96555151892244","40.59705820289411, -74.00490578078006","40.6755282563532, -73.9905595779419","40.70351733631427, -73.97109478712082","40.63927671428434, -74.03740167617798","40.79140240694607, -73.93528461456297","40.57954165275019, -73.992919921875","40.76825672305777, -73.9478588104248","40.819249, -73.962134","40.785741, -73.984498","40.863679665481676, -73.6798095703125","40.73463, -73.974313","40.63927671428434, -74.03740167617798","40.65430387930709, -74.0197366476059","40.72063722728484, -73.96555151892244","40.79140240694607, -73.93528461456297","40.70351733631427, -73.97109478712082","40.6709135, -74.0133476","40.79140240694607, -73.93528461456297","40.7025634, -73.9697795","40.8091766, -73.8011369","40.79236900450889, -73.92820358276367","40.819249, -73.962134","40.70577433585649, -73.9703893661499","40.728266950429735, -74.01369094848633","40.732974312387505, -74.01172757148743","40.72927511814658, -73.96124839782715","40.786077745444146, -73.98607760667801","40.819249, -73.962134","40.728266950429735, -74.01369094848633","40.79236900450889, -73.92820358276367","40.8091766, -73.8011369","40.8091766, -73.8011369","40.72927511814658, -73.96124839782715","40.6709135, -74.0133476","40.728266950429735, -74.01369094848633","40.79236900450889, -73.92820358276367","40.69476108090823, -74.0004301071167","40.74397311890801, -73.96018892526627","40.69144210646147, -74.01216745376587","40.72927511814658, -73.96124839782715","40.79236900450889, -73.92820358276367","40.81899769871512, -73.9620852470398","40.70351733631427, -73.97109478712082","40.825734, -73.884874","40.79140240694607, -73.93528461456297","40.7025634, -73.9697795","40.6709135, -74.0133476","40.642028420083335, -74.07312870025635","40.57954165275019, -73.992919921875","40.72063722728484, -73.96555151892244","40.72927511814658, -73.96124839782715","40.81899769871512, -73.9620852470398","40.7294662, -74.0129834","40.79140240694607, -73.93528461456297","40.760944587720985, -73.84978950032746","40.57954165275019, -73.992919921875","40.731291407758256, -73.97356510162354","40.73122230206899, -73.97339612245558","40.57954165275019, -73.992919921875","40.825734, -73.884874","40.7785826, -73.989522","40.703539, -73.971073","40.728426, -74.013829","40.6393213, -74.0376877","40.720299, -73.964919","40.675608, -73.99046","40.819091, -73.962223","40.675608, -73.99046","40.640718, -74.072923","40.7785826, -73.989522","40.819091, -73.962223","40.720299, -73.964919","40.819091, -73.962223","undefined, undefined","undefined, undefined","undefined, undefined","undefined, undefined","undefined, undefined","40.819091, -73.962223",,,,,,,,,
Water Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Sensor*,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Sensor*,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Digital thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Digital thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,Analog thermometer,,,,,,,,,
Unit - Temp,C,C,C,F,C,F,F,F,C,F,C,C,C,C,C,F,C,F,F,C,C,C,C,C,C,C,C,F,F,C,C,C,C,,C,C,F,C,F,C,C,C,C,F,C,C,C,C,F,C,C,C,C,C,C,F,F,C,C,F,F,F,C,C,F,F,C,C,F,C,C,C,C,C,C,C,F,C,C,C,C,C,F,C,F,C,F,,C,C,C,C,F,C,C,C,C,F,C,C,F,C,F,C,F,F,F,F,C,C,F,F,F,F,F,C,F,F,C,C,F,C,F,C,F,C,C,C,F,F,C,F,C,C,C,C,F,C,C,F,C,C,C,F,F,C,C,C,C,F,C,F,C,C,C,F,C,C,C,F,C,C,C,C,F,C,C,C,F,F,F,C,C,C,C,C,F,,,,,,,,,
Results,"7.5,7.5,7.5","17,17,17","13,13","64,64","20,19,20","81,80,82","69,69","70,71,70","26.2,25.9,26.1","76.4,77","25.5,25.4,25.4","26,26,26","23,23","24.3,24,24.2","22,21,20","25.5,24.9,25","30,30,30","73,73","75.7,75.8,75.8","25.7,25.6,25.7","27,27,27","25,25.5,25","29,29,29","28,28,30","31,29,31","26,26.5,26","25,24,24","74.5,74.5,74.5","86.8,86.4,86.6","23,23,24","22,24,25","23,24","24,24,24","24,24,25","19.7,19.6,19.3","17,17,16","67,68,67","18,18,22","62,62,61","17.7,17.8,18","19.1,19.1,19.1","18.6,18.6,18.6","19,18,18","63.7,63.7,63.7","18.5,18.6,18.7","13,12,","12,13,13","18,20,17","65,65","17,19","9.5,9.7,9.5","64.9,64.9,64.9","15,14,14","13,10","13,10","68,65,65","59,59,59","18,21,21","20,15,15","53,54,53","58,58","56,58","20,20,20","5,5,6","51,52,50","47,47","8,12,10","8,12","48.75,49,48","11,10,11","15,19,4","5,7,7","16.8,16.9,16.8","39,31","10,10,10","65,64","40,40,40","6.2,6.1,5.7","4,4,4","8,9,9","5,4,7","8,8","45,45,45","10,11,10","49,10","13.5,13.5,13.9","64.9,64.9,64.9","49,51,49","13,13,13","9.9,9.9","11,11,11","11,11","60,60,60","15.8,15.8,15.8","25,27,24","11,13,9","15,15,12","52,67,75","59,57,57","13.3,13.3,13.3","53,60,60","16,16","60,60,60","14.5,14.1,14.4","59,59,59","62,62,62","57.9,57.9","50,49,49","18,18","12,13","71,70,70","57,55,","63,64,66","63,62,64","62.9,63","19,19,19","71,70","78,75,74","22,22,22","22.5,22.5,22.5","65,63,","21,22","70,70","20.4,20.4,20.6","79,79,79","26,26,26","27,27","28.4,28.4,28.4","68,68,68","71,71,71","23,22.5,22.6","86.2,86.6,86.5","25,23","23.8,23.8,23.8","24,24","21,20,21","50,50","20.9,20.9,20.9","21.9,21.9,21.9","74,74","24,22,20","17.6,17","20,20,20","63,63","67.5,67.5,67.5","20,19,19","17.6,17.7,17.3","19,19","17.2,17.3,17.2","65,65,","15,15,15","49,51,48","8,8,8","6.7,6.6,6.4","8,8","32,32","1.9,1.8,1.9","10,9","7,7,7","41,45,40","11,11,11","16,16","12,12","15,15.3,15.1","46,46,46","16.8,16,16.8","18,20","20,20,20","56,54,56","73,69,69","66,66,66","18,16,18","18,16,18","18,16,18","18,16,18","18,16,18","72,72,72",,,,,,,,,
Average - Temp,7.5,17,13,64,19.66666667,81,69,70.33,26.06666667,76.7,25.43333333,26,23,24.16666667,21,25.13333333,30,73,75.76666667,25.67,27,25.17,29,28.67,30.33,26.17,24.33,74.5,86.6,23.33,23.67,23.5,24,24.33,19.53,16.67,67.33,19.33,61.67,17.83,19.1,18.6,18.33,63.7,18.6,12.5,12.67,18.33,65,18,9.57,64.9,14.33,11.5,11.5,66,59,20,16.67,53.33,58,57,20,5.33,51,47,10,10,48.58,10.67,12.67,6.33,16.83,35,10,64.5,40,6,4,8.67,5.33,8,45,10.33,29.5,13.63,64.9,49.67,13,9.9,11,11,60,15.8,25.33,11,14,64.67,57.67,13.3,57.67,16,60,14.33,59,62,57.9,49.33,18,12.5,70.33,56,64.33,63,62.95,19,70.5,75.67,22,22.5,64,21.5,70,20.47,79,26,27,28.4,68,71,22.7,86.43,24,23.8,24,20.67,50,20.9,21.9,74,22,17.3,20,63,67.5,19.33,17.53,19,17.23,65,15,49.33,8,6.57,8,32,1.87,9.5,7,42,11,16,12,15.13,46,16.53,19,20,55.33,70.33,66,17.33,17.33,17.33,17.33,17.33,72,,,,,,,,,
